Gene name,GO term accession,GO domain
AKT1,GO:0060079,biological_process
AKT1,GO:0006809,biological_process
AKT1,GO:0043488,biological_process
AKT1,GO:0072655,biological_process
AKT1,GO:0072656,biological_process
AKT1,GO:0032079,biological_process
AKT1,GO:0010975,biological_process
AKT1,GO:0034405,biological_process
AKT1,GO:0006924,biological_process
AKT1,GO:0030235,molecular_function
AKT1,GO:0099104,molecular_function
AKT1,GO:0003376,biological_process
AKT1,GO:0005979,biological_process
AKT1,GO:0009408,biological_process
AKT1,GO:0010507,biological_process
AKT1,GO:0010761,biological_process
AKT1,GO:0010907,biological_process
AKT1,GO:0010918,biological_process
AKT1,GO:0016242,biological_process
AKT1,GO:0019049,biological_process
AKT1,GO:0031929,biological_process
AKT1,GO:0031999,biological_process
AKT1,GO:0043276,biological_process
AKT1,GO:0110002,biological_process
AKT1,GO:0140052,biological_process
AKT1,GO:0150033,biological_process
AKT1,GO:1903721,biological_process
AKT1,GO:1905552,biological_process
AKT1,GO:2000074,biological_process
AKT1,GO:2000402,biological_process
AKT1,GO:0019901,molecular_function
AKT1,GO:0001649,biological_process
AKT1,GO:0001893,biological_process
AKT1,GO:0006954,biological_process
AKT1,GO:0007281,biological_process
AKT1,GO:0008637,biological_process
AKT1,GO:0009725,biological_process
AKT1,GO:0010033,biological_process
AKT1,GO:0010467,biological_process
AKT1,GO:0010629,biological_process
AKT1,GO:0010763,biological_process
AKT1,GO:0010765,biological_process
AKT1,GO:0016567,biological_process
AKT1,GO:0022605,biological_process
AKT1,GO:0030163,biological_process
AKT1,GO:0031641,biological_process
AKT1,GO:0031663,biological_process
AKT1,GO:0032094,biological_process
AKT1,GO:0032287,biological_process
AKT1,GO:0032880,biological_process
AKT1,GO:0035924,biological_process
AKT1,GO:0036294,biological_process
AKT1,GO:0042593,biological_process
AKT1,GO:0043161,biological_process
AKT1,GO:0045944,biological_process
AKT1,GO:0046622,biological_process
AKT1,GO:0048266,biological_process
AKT1,GO:0051146,biological_process
AKT1,GO:0060709,biological_process
AKT1,GO:0060716,biological_process
AKT1,GO:0071363,biological_process
AKT1,GO:0071380,biological_process
AKT1,GO:0097011,biological_process
AKT1,GO:0097194,biological_process
AKT1,GO:0099175,biological_process
AKT1,GO:1901653,biological_process
AKT1,GO:2000010,biological_process
AKT1,GO:2001243,biological_process
AKT1,GO:0005739,cellular_component
AKT1,GO:0005819,cellular_component
AKT1,GO:0005911,cellular_component
AKT1,GO:0036064,cellular_component
AKT1,GO:0098978,cellular_component
AKT1,,
ALDH1A3,GO:0016491,molecular_function
ALDH1A3,GO:0016620,molecular_function
ALDH1A3,GO:0005737,cellular_component
ALDH1A3,GO:0006629,biological_process
ALDH1A3,GO:0042803,molecular_function
ALDH1A3,GO:0042572,biological_process
ALDH1A3,GO:0004029,molecular_function
ALDH1A3,GO:0004030,molecular_function
ALDH1A3,GO:0070324,molecular_function
ALDH1A3,GO:0070403,molecular_function
ALDH1A3,GO:0002072,biological_process
ALDH1A3,GO:0002138,biological_process
ALDH1A3,GO:0006915,biological_process
ALDH1A3,GO:0007626,biological_process
ALDH1A3,GO:0021768,biological_process
ALDH1A3,GO:0031076,biological_process
ALDH1A3,GO:0042472,biological_process
ALDH1A3,GO:0042573,biological_process
ALDH1A3,GO:0043065,biological_process
ALDH1A3,GO:0043584,biological_process
ALDH1A3,GO:0048048,biological_process
ALDH1A3,GO:0050885,biological_process
ALDH1A3,GO:0060013,biological_process
