gene,BP,CC,MF
CLDN5,"['GO:0045471', 'GO:0007155', 'GO:0008284', 'GO:0035633', 'GO:0010628']","['GO:0005886', 'GO:0016020', 'GO:0030864', 'GO:0016328', 'GO:0005911']",['GO:0005515']
CLEC14A,['GO:0016477'],,['GO:0005515']
CMIP,['GO:0001701'],"['GO:0005654', 'GO:0005829']",['GO:0005515']
CNTN1,"['GO:0007155', 'GO:0010628', 'GO:0007411', 'GO:0010467', 'GO:0007219']","['GO:0045121', 'GO:0005886', 'GO:0070062', 'GO:0016020', 'GO:0045211', 'GO:0042734', 'GO:0030424']",['GO:0005515']
COL4A2,"['GO:0001525', 'GO:0030198']","['GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0016020', 'GO:0005604']","['GO:0005515', 'GO:0005201']"
CORO1B,"['GO:0016477', 'GO:0042060', 'GO:2000394', 'GO:0034316']","['GO:0005925', 'GO:0005886', 'GO:0070062', 'GO:0005737', 'GO:0005829', 'GO:0048471', 'GO:0005856', 'GO:0005884', 'GO:0031252', 'GO:0071944', 'GO:0001725']","['GO:0005515', 'GO:0045296']"
CRYM,['GO:0000122'],"['GO:0070062', 'GO:0005737', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0042803']"
CSMD1,['GO:0008584'],['GO:0016020'],['GO:0005515']
CTNNA2,"['GO:0030154', 'GO:0007155', 'GO:0016477', 'GO:0007409', 'GO:0034316']","['GO:0016342', 'GO:0005737', 'GO:0005912', 'GO:0016020', 'GO:0030424', 'GO:0005634', 'GO:0005829', 'GO:0005856']","['GO:0008013', 'GO:0005515', 'GO:0045296']"
CUL1,"['GO:0006915', 'GO:0008283', 'GO:0043123']","['GO:0005886', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005829']","['GO:0005515', 'GO:0030674']"
CXCL1,"['GO:0008285', 'GO:0006954', 'GO:0006935', 'GO:0035556', 'GO:0071222', 'GO:0007165', 'GO:0007399']","['GO:0005615', 'GO:0005576', 'GO:0035580']","['GO:0005102', 'GO:0005515']"
CYBA,"['GO:0009410', 'GO:0032930', 'GO:0050766', 'GO:0006954', 'GO:0071356', 'GO:0071260', 'GO:0001938', 'GO:0070555']","['GO:0005925', 'GO:0043025', 'GO:0005886', 'GO:0016020', 'GO:0005794', 'GO:0005634', 'GO:0035579', 'GO:0016324', 'GO:0001725', 'GO:0030425']","['GO:0005515', 'GO:0017124']"
DACH1,"['GO:0000122', 'GO:0008283', 'GO:0006357', 'GO:0007585', 'GO:0045892']","['GO:0005737', 'GO:0005667', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0005829', 'GO:0016607']","['GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0000977']"
DCC,"['GO:0006915', 'GO:0007409', 'GO:0007411', 'GO:0001764']","['GO:0009986', 'GO:0005886', 'GO:0005829', 'GO:0044295']",['GO:0005515']
DCD,['GO:0034220'],"['GO:0005615', 'GO:0005576', 'GO:0070062', 'GO:0016020']",['GO:0005515']
DLC1,"['GO:0008285', 'GO:0006915', 'GO:0001843', 'GO:0006919', 'GO:0051895', 'GO:0021575', 'GO:0032956', 'GO:0008360', 'GO:0007165', 'GO:0035023']","['GO:0005925', 'GO:0045121', 'GO:0005737', 'GO:0005901', 'GO:0016020', 'GO:0030864', 'GO:0005634', 'GO:0005829', 'GO:0032587']",['GO:0005515']
DNAJA3,"['GO:0000122', 'GO:0008285', 'GO:0006919', 'GO:0043066', 'GO:0032088', 'GO:0043065', 'GO:0043124']","['GO:0005737', 'GO:0016020', 'GO:0045211', 'GO:0005634', 'GO:0005829', 'GO:0031594', 'GO:0005884', 'GO:0009898']","['GO:0005515', 'GO:0044877', 'GO:0019901', 'GO:0061629']"
DOCK2,"['GO:0016477', 'GO:0050766', 'GO:0006935', 'GO:0002277', 'GO:0044351']","['GO:0005576', 'GO:0005886', 'GO:0070062', 'GO:0005737', 'GO:0016020', 'GO:0035580', 'GO:0005829', 'GO:0005856']",['GO:0005515']
DPF3,"['GO:0045944', 'GO:0006357', 'GO:0045892', 'GO:0007399']","['GO:0000785', 'GO:0005654']",['GO:0008270']
DSE,['GO:0030206'],['GO:0005794'],
